0,1,2,3,4
42.69,3.96,20.05,16.81,83.51
61.86,6.79,32.18,23.63,124.46
106.16,10.53,47.44,40.17,204.3
140.82,13.02,55.7,57.69,267.23
144.7,14.07,54.31,70.61,283.69
141.53,17.05,52.57,78.66,289.81
162.4,21.07,59.28,98.2,340.95
176.66,19.44,49.98,99.29,345.37
126.21,14.17,32.08,74.66,247.12
91.44,12.85,27.47,58.72,190.48
102.54,17.4,33.08,71.5,224.52
141.7,21.31,37.6,83.37,283.98
159.83,23.12,45.58,79.74,308.27
195.12,26.15,48.93,99.13,369.33
157.67,15.72,33.58,70.65,277.62
94.74,9.92,21.08,42.97,168.71
63.73,10.26,17.93,39.22,131.14
103.32,14.34,27.73,59.56,204.95
125.15,12.59,28.62,49.16,215.52
97.22,9.36,22.52,38.71,167.81
77.91,10.47,19.51,35.64,143.53
121.38,17.63,30.02,67.44,236.47
156.61,17.22,30.14,63.22,267.19
103.99,15.25,22.24,45.65,187.13
94.9,15.32,21.11,43.87,175.2
91.86,15.44,20.02,45.73,173.05
91.56,13.54,18.42,43.28,166.8
78.26,10.56,15.28,35.56,139.66
64.67,9.58,12.99,31.25,118.49
60.44,8.98,12.35,28.53,110.3
50.9,9.87,11.44,26.57,98.78
53.36,14.73,13.97,38.33,120.39
132.21,19.25,22.36,73.72,247.54
119.62,17.71,27.07,66.91,231.31
136.63,13.22,21.85,72.85,244.55
82.67,9.52,13.14,41.18,146.51
57.05,8.8,11.02,31.84,108.71
68.6,8.64,11.14,37.7,126.08
82.05,8.74,10.08,36.74,137.61
64.25,9.07,10.12,31.47,114.91
61.64,12.01,11.58,39.98,125.21
83.07,12.39,13.56,37.15,146.17
65.61,11.24,11.8,29.51,118.16
